Estado,ID_Expediente,Clasificacion_Norma,Fecha_Inicio,Caratula,Estado_Actual,Prioridad_Expediente,Riesgo_Financiero,Abogado_Asignado,Instancia_Actual,Audiencia_Prevista,Resultado_Final,Cantidad_de_Partes,Monto_Reclamado,Monto_Resuelto,Tipo_Demandante,Dias_en_Etapa,Juzgado,Caratula.1,Abogado_Contraparte
EN TRÁMITE,742804,Norma Laboral,2024-11-27 17:56:12,Expediente 195,TERMINADO,Alta,Bajo,Belén,Segunda Instancia,2030-07-16 19:38:46,Conciliación,4,2418180.17,1070844.22,Empresa,1314,LABORAL 5,Caso relacionado 195,DR. PAREDES
FERIA JUDICIAL,622828,Norma Civil,2015-07-12 17:34:32,Expediente 196,TERMINADO,Baja,Bajo,Belén,Segunda Instancia,2027-03-17 7:49:45,Favorable,3,1087996.89,2026173.57,Persona Física,1704,LABORAL 5,Caso relacionado 196,DR. PAREDES
FERIA JUDICIAL,578366,Norma Penal,2002-12-31 8:58:08,Expediente 197,FERIA JUDICIAL,Media,Moderado,Mariana,Primera Instancia,2028-03-19 4:32:46,Conciliación,2,4836683.24,3112023,Organismo Público,1071,CIVIL 2,Caso relacionado 197,DR. PAREDES
TERMINADO,821384,Norma Laboral,2020-08-01 12:29:37,Expediente 198,FERIA JUDICIAL,Media,Bajo,Andres,Corte Suprema,2025-10-20 7:37:21,Conciliación,8,3578473.85,3434000.14,Empresa,975,LABORAL 5,Caso relacionado 198,DRA. CINTIA FIAD
TERMINADO,519139,Norma Penal,2022-11-11 19:48:14,Expediente 199,FERIA JUDICIAL,Baja,Alto,Mariana,Segunda Instancia,2025-06-28 4:01:15,Conciliación,6,4786102.81,3380232.02,Persona Física,1739,COMERCIAL 1,Caso relacionado 199,DRA. CINTIA FIAD
FERIA JUDICIAL,619777,Norma Comercial,2000-02-18 1:16:25,Expediente 200,EN TRÁMITE,Baja,Moderado,Mariana,Primera Instancia,2030-06-19 7:31:42,Conciliación,6,2141254.18,1441903.87,Empresa,1238,PAZ TERCERA,Caso relacionado 200,DR. URQUIZA
EN TRÁMITE,476188,Norma Laboral,2012-02-03 6:32:24,Expediente 201,EN TRÁMITE,Alta,Alto,Mariana,Segunda Instancia,2029-07-21 19:28:16,Desfavorable,8,2380750.7,2750501.2,Empresa,758,CIVIL 2,Caso relacionado 201,DRA. CINTIA FIAD
FERIA JUDICIAL,332549,Norma Civil,2013-09-10 15:37:42,Expediente 202,FERIA JUDICIAL,Baja,Alto,Andres,Primera Instancia,2027-01-12 8:20:48,En Proceso,4,4490796.53,1254772.62,Empresa,1048,CIVIL 2,Caso relacionado 202,DR. URQUIZA
TERMINADO,653453,Norma Civil,2008-05-01 9:37:58,Expediente 203,APELADO,Alta,Moderado,Laura,Primera Instancia,2026-01-09 6:34:07,Favorable,3,2629996.21,248317.65,Empresa,321,LABORAL 5,Caso relacionado 203,DR. PAREDES
EN TRÁMITE,691491,Norma Civil,2006-02-20 4:59:12,Expediente 204,TERMINADO,Media,Bajo,Laura,Corte Suprema,2028-09-08 19:17:02,Conciliación,3,3539321.77,2807753.24,Empresa,274,COMERCIAL 1,Caso relacionado 204,DRA. CINTIA FIAD
TERMINADO,584965,Norma Civil,2003-03-08 18:26:24,Expediente 205,TERMINADO,Baja,Alto,Belén,Segunda Instancia,2028-02-09 7:35:55,Conciliación,5,1268342.66,44261.07,Empresa,556,LABORAL 5,Caso relacionado 205,DR. PAREDES
EN TRÁMITE,890546,Norma Penal,2015-08-15 4:36:12,Expediente 206,EN TRÁMITE,Alta,Alto,Belén,Corte Suprema,2029-03-18 0:13:40,Desfavorable,2,2239165.08,1639684.44,Empresa,844,LABORAL 5,Caso relacionado 206,DR. PAREDES
APELADO,136321,Norma Penal,2014-12-28 1:46:09,Expediente 207,TERMINADO,Alta,Alto,Andres,Segunda Instancia,2027-02-03 17:12:09,En Proceso,7,626014.83,1320870.18,Organismo Público,1337,CIVIL 2,Caso relacionado 207,DR. PAREDES
TERMINADO,435441,Norma Civil,2020-12-15 6:45:47,Expediente 208,APELADO,Media,Alto,Agostina,Corte Suprema,2030-08-24 3:55:50,Conciliación,9,1037840.38,2775043.27,Organismo Público,1387,LABORAL 5,Caso relacionado 208,DR. PAREDES
TERMINADO,983084,Norma Civil,2005-10-15 23:07:22,Expediente 209,TERMINADO,Baja,Moderado,Laura,Segunda Instancia,2025-05-31 10:33:37,Desfavorable,3,14707.64,3066150.66,Empresa,668,PAZ TERCERA,Caso relacionado 209,DRA. CINTIA FIAD
FERIA JUDICIAL,985736,Norma Civil,2009-03-17 19:29:44,Expediente 210,EN TRÁMITE,Media,Moderado,Belén,Corte Suprema,2030-06-10 21:51:37,Favorable,8,205932.61,1219858.07,Empresa,1000,LABORAL 5,Caso relacionado 210,DR. PAREDES
TERMINADO,345014,Norma Penal,2005-09-03 22:01:10,Expediente 211,EN TRÁMITE,Alta,Alto,Laura,Primera Instancia,2026-08-02 13:22:11,Favorable,7,4886646.28,3247449.92,Organismo Público,380,LABORAL 5,Caso relacionado 211,DR. URQUIZA
TERMINADO,256498,Norma Civil,2006-08-24 18:47:12,Expediente 212,APELADO,Alta,Bajo,Andres,Segunda Instancia,2030-06-29 10:35:23,Conciliación,6,1219344.94,1179197.46,Organismo Público,711,CIVIL 2,Caso relacionado 212,DRA. CINTIA FIAD
APELADO,117772,Norma Civil,2005-12-04 7:06:56,Expediente 213,APELADO,Baja,Alto,Andres,Segunda Instancia,2025-02-17 11:35:53,Conciliación,7,3319920.44,1788073.81,Organismo Público,1943,LABORAL 5,Caso relacionado 213,DR. PAREDES
TERMINADO,990186,Norma Comercial,2015-05-14 7:08:17,Expediente 214,TERMINADO,Alta,Bajo,Agostina,Primera Instancia,2030-02-24 14:29:30,En Proceso,2,4197107.5,2909439.02,Empresa,1698,COMERCIAL 1,Caso relacionado 214,DRA. CINTIA FIAD
APELADO,890144,Norma Comercial,2011-02-14 14:08:05,Expediente 215,TERMINADO,Baja,Alto,Agostina,Corte Suprema,2030-09-02 12:14:31,En Proceso,8,2757795.69,2773216.32,Persona Física,1931,CIVIL 2,Caso relacionado 215,DR. URQUIZA
APELADO,494583,Norma Civil,2013-03-10 20:32:33,Expediente 216,EN TRÁMITE,Media,Bajo,Andres,Segunda Instancia,2029-03-10 15:45:53,Conciliación,2,774191.06,3949537.05,Persona Física,1494,LABORAL 5,Caso relacionado 216,DR. PAREDES
APELADO,338389,Norma Laboral,2024-04-23 18:32:41,Expediente 217,APELADO,Baja,Alto,Belén,Segunda Instancia,2028-08-01 12:44:58,Desfavorable,7,3643301.02,904518.29,Persona Física,746,PAZ TERCERA,Caso relacionado 217,DR. URQUIZA
APELADO,739430,Norma Civil,2022-07-24 16:44:04,Expediente 218,APELADO,Baja,Bajo,Laura,Corte Suprema,2029-09-06 9:33:32,En Proceso,9,3005254.54,2650960.06,Persona Física,675,PAZ TERCERA,Caso relacionado 218,DR. PAREDES
EN TRÁMITE,716024,Norma Comercial,2019-03-09 3:22:44,Expediente 219,APELADO,Alta,Alto,Mariana,Primera Instancia,2026-05-17 2:04:50,Conciliación,4,3658940.44,2440679.22,Empresa,116,CIVIL 2,Caso relacionado 219,DR. URQUIZA
FERIA JUDICIAL,151924,Norma Laboral,2022-05-06 19:48:37,Expediente 220,TERMINADO,Alta,Alto,Agostina,Corte Suprema,2026-08-12 0:59:55,En Proceso,3,3851035.65,3660818.33,Persona Física,605,CIVIL 2,Caso relacionado 220,DR. PAREDES
EN TRÁMITE,628014,Norma Laboral,2013-08-09 19:15:59,Expediente 221,APELADO,Baja,Bajo,Mariana,Corte Suprema,2028-08-24 0:18:10,Conciliación,8,4877297.73,629666.76,Organismo Público,1066,LABORAL 5,Caso relacionado 221,DRA. CINTIA FIAD
TERMINADO,451296,Norma Civil,2023-01-02 3:30:09,Expediente 222,EN TRÁMITE,Alta,Moderado,Belén,Corte Suprema,2026-12-26 14:35:06,Favorable,4,2872080.77,3008433.66,Organismo Público,1820,COMERCIAL 1,Caso relacionado 222,DR. PAREDES
EN TRÁMITE,127723,Norma Comercial,2013-04-11 20:36:25,Expediente 223,EN TRÁMITE,Alta,Bajo,Agostina,Segunda Instancia,2029-04-27 21:28:16,Conciliación,7,1714789.15,2275233.12,Persona Física,379,LABORAL 5,Caso relacionado 223,DRA. CINTIA FIAD
EN TRÁMITE,858470,Norma Comercial,2015-03-29 21:35:11,Expediente 224,TERMINADO,Alta,Moderado,Mariana,Primera Instancia,2025-11-16 13:14:29,Favorable,3,3245838.14,1102290.15,Organismo Público,1746,PAZ TERCERA,Caso relacionado 224,DR. PAREDES
TERMINADO,986926,Norma Laboral,2022-01-06 9:48:31,Expediente 225,FERIA JUDICIAL,Baja,Alto,Belén,Primera Instancia,2030-07-14 17:28:33,En Proceso,5,351519.14,1900367.48,Empresa,1230,COMERCIAL 1,Caso relacionado 225,DR. PAREDES
TERMINADO,764468,Norma Civil,2020-07-18 22:21:48,Expediente 226,TERMINADO,Alta,Bajo,Laura,Corte Suprema,2027-02-26 20:46:40,Conciliación,4,4488012.62,1338437.51,Persona Física,466,COMERCIAL 1,Caso relacionado 226,DR. URQUIZA
TERMINADO,308786,Norma Penal,2006-03-08 10:20:05,Expediente 227,FERIA JUDICIAL,Baja,Bajo,Belén,Segunda Instancia,2025-09-26 16:19:13,En Proceso,4,605711.25,2319357.04,Persona Física,1756,COMERCIAL 1,Caso relacionado 227,DR. URQUIZA
EN TRÁMITE,659931,Norma Penal,2005-07-10 14:50:51,Expediente 228,APELADO,Alta,Bajo,Agostina,Corte Suprema,2026-10-02 5:35:55,Favorable,7,1645935.76,3556557.44,Empresa,280,LABORAL 5,Caso relacionado 228,DR. URQUIZA
EN TRÁMITE,786684,Norma Comercial,2008-06-22 14:42:31,Expediente 229,TERMINADO,Media,Moderado,Andres,Segunda Instancia,2025-03-08 22:09:57,Conciliación,6,4080569.45,2279373.41,Organismo Público,1672,PAZ TERCERA,Caso relacionado 229,DR. PAREDES
TERMINADO,990328,Norma Penal,2005-01-11 19:05:18,Expediente 230,EN TRÁMITE,Alta,Moderado,Laura,Segunda Instancia,2025-06-04 3:21:55,En Proceso,7,2990588.77,2528731.06,Empresa,618,CIVIL 2,Caso relacionado 230,DR. PAREDES
FERIA JUDICIAL,314432,Norma Comercial,2001-09-13 12:14:31,Expediente 231,APELADO,Alta,Alto,Mariana,Segunda Instancia,2028-07-12 14:58:45,Favorable,4,1974241.25,2077397.65,Empresa,118,LABORAL 5,Caso relacionado 231,DR. PAREDES
FERIA JUDICIAL,239999,Norma Comercial,2015-03-27 8:45:25,Expediente 232,EN TRÁMITE,Baja,Moderado,Agostina,Segunda Instancia,2027-07-04 10:31:55,En Proceso,3,2372443.94,209406.2,Organismo Público,1261,CIVIL 2,Caso relacionado 232,DRA. CINTIA FIAD
APELADO,980112,Norma Comercial,2007-09-04 20:08:27,Expediente 233,APELADO,Baja,Moderado,Andres,Primera Instancia,2027-07-13 16:23:52,Desfavorable,9,4274191.49,935269.93,Empresa,309,COMERCIAL 1,Caso relacionado 233,DRA. CINTIA FIAD
TERMINADO,458690,Norma Penal,2014-06-03 23:09:46,Expediente 234,TERMINADO,Alta,Alto,Belén,Segunda Instancia,2027-07-03 23:31:43,Favorable,6,1706621.89,1970546.91,Organismo Público,1480,COMERCIAL 1,Caso relacionado 234,DR. PAREDES
APELADO,179973,Norma Comercial,2007-01-26 18:36:47,Expediente 235,FERIA JUDICIAL,Media,Bajo,Andres,Segunda Instancia,2030-04-12 9:18:52,Favorable,7,4349551.93,1244389.96,Organismo Público,1924,LABORAL 5,Caso relacionado 235,DR. URQUIZA
FERIA JUDICIAL,949881,Norma Laboral,2005-12-26 17:46:26,Expediente 236,APELADO,Alta,Bajo,Agostina,Corte Suprema,2028-08-13 15:17:29,Favorable,9,449790.81,731145.57,Empresa,1499,PAZ TERCERA,Caso relacionado 236,DR. URQUIZA
APELADO,734122,Norma Civil,2004-12-08 9:34:54,Expediente 237,FERIA JUDICIAL,Alta,Alto,Agostina,Corte Suprema,2025-08-30 7:24:43,Conciliación,8,3886224.2,2019010.7,Organismo Público,100,COMERCIAL 1,Caso relacionado 237,DR. URQUIZA
TERMINADO,860674,Norma Civil,2012-03-20 20:42:07,Expediente 238,APELADO,Media,Bajo,Andres,Primera Instancia,2025-10-04 11:36:09,Conciliación,7,4239262.69,1294625.12,Empresa,261,CIVIL 2,Caso relacionado 238,DR. PAREDES
TERMINADO,553449,Norma Comercial,2001-03-04 13:03:02,Expediente 239,EN TRÁMITE,Baja,Moderado,Belén,Corte Suprema,2026-07-17 16:46:24,Conciliación,4,917270.09,1036140.03,Organismo Público,993,CIVIL 2,Caso relacionado 239,DR. URQUIZA
TERMINADO,387681,Norma Civil,2016-08-15 9:34:12,Expediente 240,EN TRÁMITE,Alta,Alto,Andres,Segunda Instancia,2025-01-17 9:54:20,Desfavorable,9,2157429.2,1858621.74,Persona Física,1329,LABORAL 5,Caso relacionado 240,DR. PAREDES
EN TRÁMITE,594509,Norma Penal,2022-06-01 14:20:03,Expediente 241,APELADO,Baja,Alto,Agostina,Corte Suprema,2029-12-02 13:30:31,Desfavorable,4,835843.88,537470.61,Organismo Público,1378,CIVIL 2,Caso relacionado 241,DRA. CINTIA FIAD
APELADO,964008,Norma Penal,2006-02-07 9:27:53,Expediente 242,FERIA JUDICIAL,Baja,Alto,Agostina,Primera Instancia,2028-09-15 21:02:45,Favorable,5,3535954.6,3711344.2,Organismo Público,286,PAZ TERCERA,Caso relacionado 242,DR. URQUIZA
FERIA JUDICIAL,731810,Norma Civil,2010-12-01 12:18:06,Expediente 243,TERMINADO,Media,Bajo,Mariana,Corte Suprema,2029-04-01 15:37:13,Desfavorable,9,2681385.36,3471469.88,Empresa,328,COMERCIAL 1,Caso relacionado 243,DRA. CINTIA FIAD
FERIA JUDICIAL,646900,Norma Penal,2001-02-22 19:25:55,Expediente 244,TERMINADO,Media,Alto,Mariana,Corte Suprema,2025-02-23 16:37:02,En Proceso,9,3180263.5,2831944.24,Organismo Público,1127,CIVIL 2,Caso relacionado 244,DR. URQUIZA
FERIA JUDICIAL,325049,Norma Civil,2000-12-01 14:51:25,Expediente 245,EN TRÁMITE,Baja,Alto,Laura,Primera Instancia,2028-06-17 21:30:29,Favorable,7,990469.97,429324.24,Persona Física,63,CIVIL 2,Caso relacionado 245,DR. PAREDES
EN TRÁMITE,368615,Norma Civil,2000-07-23 4:39:15,Expediente 246,TERMINADO,Alta,Alto,Agostina,Primera Instancia,2025-10-24 22:57:19,Favorable,4,1066611.85,3104629.63,Persona Física,687,COMERCIAL 1,Caso relacionado 246,DR. PAREDES
EN TRÁMITE,266703,Norma Civil,2002-08-21 16:14:13,Expediente 247,EN TRÁMITE,Baja,Bajo,Mariana,Segunda Instancia,2028-05-19 12:05:00,En Proceso,8,217071.65,3232789.53,Organismo Público,1306,LABORAL 5,Caso relacionado 247,DR. PAREDES
TERMINADO,864357,Norma Comercial,2002-06-11 2:01:50,Expediente 248,TERMINADO,Alta,Moderado,Andres,Corte Suprema,2030-12-03 5:54:29,Favorable,2,1617117,3072219.65,Organismo Público,1465,CIVIL 2,Caso relacionado 248,DR. PAREDES
FERIA JUDICIAL,847419,Norma Civil,2017-03-08 2:37:27,Expediente 249,APELADO,Alta,Alto,Belén,Segunda Instancia,2030-01-11 14:46:43,Desfavorable,6,2803125.86,460293.72,Persona Física,1317,LABORAL 5,Caso relacionado 249,DR. URQUIZA
EN TRÁMITE,131348,Norma Comercial,2017-05-25 11:13:24,Expediente 250,EN TRÁMITE,Media,Moderado,Andres,Corte Suprema,2026-11-22 3:24:33,Conciliación,2,4291095.22,2577412.29,Empresa,738,LABORAL 5,Caso relacionado 250,DRA. CINTIA FIAD
TERMINADO,295804,Norma Civil,2021-09-22 5:14:54,Expediente 251,EN TRÁMITE,Alta,Bajo,Belén,Corte Suprema,2028-12-03 13:58:57,En Proceso,6,3337967.96,3338127.56,Persona Física,1031,CIVIL 2,Caso relacionado 251,DR. PAREDES
FERIA JUDICIAL,887609,Norma Civil,2017-08-20 13:10:45,Expediente 252,APELADO,Alta,Bajo,Mariana,Segunda Instancia,2030-08-02 12:45:13,Desfavorable,8,2182627.65,2311526.84,Persona Física,639,PAZ TERCERA,Caso relacionado 252,DR. URQUIZA
APELADO,235832,Norma Civil,2021-12-30 3:56:35,Expediente 253,EN TRÁMITE,Baja,Bajo,Laura,Corte Suprema,2029-04-22 22:12:40,En Proceso,9,4766069.37,2587397.46,Organismo Público,936,LABORAL 5,Caso relacionado 253,DRA. CINTIA FIAD
TERMINADO,394923,Norma Penal,2016-05-29 23:40:11,Expediente 254,TERMINADO,Media,Bajo,Andres,Corte Suprema,2029-12-14 4:33:15,En Proceso,9,3599033.55,1836162.1,Organismo Público,1116,CIVIL 2,Caso relacionado 254,DR. PAREDES
EN TRÁMITE,383780,Norma Comercial,2000-09-30 1:49:01,Expediente 255,TERMINADO,Alta,Moderado,Andres,Corte Suprema,2027-08-26 22:24:39,Favorable,7,4651524.36,2117185.74,Persona Física,1959,LABORAL 5,Caso relacionado 255,DRA. CINTIA FIAD
EN TRÁMITE,706177,Norma Comercial,2008-03-10 16:13:27,Expediente 256,EN TRÁMITE,Alta,Alto,Andres,Primera Instancia,2025-03-10 22:03:52,Favorable,5,2642663.99,142335.55,Empresa,1214,COMERCIAL 1,Caso relacionado 256,DR. PAREDES
TERMINADO,153551,Norma Civil,2000-02-06 6:20:11,Expediente 257,TERMINADO,Media,Bajo,Belén,Segunda Instancia,2028-10-15 18:45:31,Desfavorable,4,1301932.33,2557657.27,Persona Física,1895,PAZ TERCERA,Caso relacionado 257,DRA. CINTIA FIAD
TERMINADO,504772,Norma Civil,2002-12-30 5:54:33,Expediente 258,FERIA JUDICIAL,Baja,Bajo,Mariana,Primera Instancia,2028-10-16 3:04:57,En Proceso,4,273605.16,330381.62,Persona Física,476,PAZ TERCERA,Caso relacionado 258,DRA. CINTIA FIAD
EN TRÁMITE,766923,Norma Penal,2007-11-22 5:43:12,Expediente 259,EN TRÁMITE,Media,Moderado,Andres,Segunda Instancia,2026-11-12 3:45:12,Favorable,4,3633163.41,1742883.3,Empresa,1535,COMERCIAL 1,Caso relacionado 259,DR. PAREDES
APELADO,671107,Norma Penal,2003-09-12 11:59:58,Expediente 260,APELADO,Media,Moderado,Andres,Segunda Instancia,2027-08-08 9:39:43,Favorable,7,615301.96,1174157.12,Persona Física,1486,COMERCIAL 1,Caso relacionado 260,DR. URQUIZA
FERIA JUDICIAL,435914,Norma Penal,2007-02-23 11:10:57,Expediente 261,FERIA JUDICIAL,Alta,Bajo,Laura,Corte Suprema,2026-03-04 2:09:37,En Proceso,6,1520847.89,2183984.66,Persona Física,53,LABORAL 5,Caso relacionado 261,DRA. CINTIA FIAD
APELADO,520182,Norma Comercial,2008-11-15 8:06:48,Expediente 262,EN TRÁMITE,Alta,Alto,Laura,Segunda Instancia,2029-01-07 5:33:35,Desfavorable,9,2667029.83,537998.26,Organismo Público,754,COMERCIAL 1,Caso relacionado 262,DR. PAREDES
TERMINADO,312781,Norma Comercial,2012-10-24 7:36:23,Expediente 263,APELADO,Baja,Alto,Mariana,Primera Instancia,2028-10-16 13:01:07,Desfavorable,8,2826438.77,2768115.39,Empresa,486,PAZ TERCERA,Caso relacionado 263,DRA. CINTIA FIAD
APELADO,553105,Norma Comercial,2012-09-30 0:32:02,Expediente 264,TERMINADO,Alta,Bajo,Mariana,Primera Instancia,2025-11-13 22:03:39,En Proceso,4,3006910.15,3181071.09,Organismo Público,1668,COMERCIAL 1,Caso relacionado 264,DRA. CINTIA FIAD
EN TRÁMITE,782347,Norma Civil,2021-09-01 21:06:15,Expediente 265,APELADO,Alta,Moderado,Agostina,Primera Instancia,2028-09-26 19:38:41,Desfavorable,2,839614.1,657601.03,Organismo Público,1514,CIVIL 2,Caso relacionado 265,DR. URQUIZA
TERMINADO,965146,Norma Comercial,2004-05-31 3:34:03,Expediente 266,FERIA JUDICIAL,Media,Bajo,Laura,Segunda Instancia,2030-01-02 1:51:31,Favorable,4,1904889.65,421730.78,Empresa,1388,CIVIL 2,Caso relacionado 266,DRA. CINTIA FIAD
FERIA JUDICIAL,813708,Norma Laboral,2005-04-07 21:02:24,Expediente 267,TERMINADO,Alta,Bajo,Agostina,Primera Instancia,2026-02-23 3:35:29,En Proceso,9,3089799.19,586334.35,Empresa,1136,LABORAL 5,Caso relacionado 267,DRA. CINTIA FIAD
EN TRÁMITE,648884,Norma Laboral,2019-02-25 15:28:41,Expediente 268,EN TRÁMITE,Baja,Moderado,Belén,Segunda Instancia,2030-04-14 23:24:14,Favorable,7,4849396.13,3509124.61,Persona Física,409,PAZ TERCERA,Caso relacionado 268,DR. PAREDES
EN TRÁMITE,950538,Norma Penal,2006-07-31 4:51:46,Expediente 269,TERMINADO,Media,Bajo,Agostina,Primera Instancia,2028-10-14 1:56:29,Conciliación,8,3640879.38,2115116.1,Organismo Público,1031,CIVIL 2,Caso relacionado 269,DR. PAREDES
FERIA JUDICIAL,159182,Norma Comercial,2014-05-10 3:01:25,Expediente 270,EN TRÁMITE,Baja,Bajo,Andres,Primera Instancia,2028-02-12 13:53:05,Conciliación,5,4613792.75,1871707.68,Empresa,1766,COMERCIAL 1,Caso relacionado 270,DR. URQUIZA
FERIA JUDICIAL,449307,Norma Laboral,2016-08-05 7:20:06,Expediente 271,EN TRÁMITE,Media,Bajo,Agostina,Segunda Instancia,2027-02-04 18:12:27,Desfavorable,8,3813438.17,431313.72,Organismo Público,668,CIVIL 2,Caso relacionado 271,DRA. CINTIA FIAD
APELADO,401454,Norma Penal,2021-05-03 13:57:07,Expediente 272,APELADO,Alta,Moderado,Mariana,Primera Instancia,2029-01-07 6:57:40,Conciliación,2,2962667.67,2599976.25,Organismo Público,1221,CIVIL 2,Caso relacionado 272,DRA. CINTIA FIAD
TERMINADO,418232,Norma Comercial,2009-10-24 6:25:28,Expediente 273,APELADO,Media,Alto,Belén,Corte Suprema,2026-12-16 21:26:51,Favorable,4,968196.61,3472658.37,Empresa,835,LABORAL 5,Caso relacionado 273,DRA. CINTIA FIAD
FERIA JUDICIAL,753091,Norma Civil,2020-01-22 8:51:06,Expediente 274,APELADO,Media,Alto,Andres,Segunda Instancia,2030-07-27 4:49:23,Conciliación,4,3336761.4,3313602.55,Persona Física,876,COMERCIAL 1,Caso relacionado 274,DR. URQUIZA
FERIA JUDICIAL,239978,Norma Laboral,2017-10-01 5:08:01,Expediente 275,FERIA JUDICIAL,Alta,Moderado,Agostina,Segunda Instancia,2025-03-12 13:37:00,Favorable,3,3120664.03,2506088.56,Organismo Público,1759,COMERCIAL 1,Caso relacionado 275,DRA. CINTIA FIAD
TERMINADO,923346,Norma Civil,2012-09-17 8:02:50,Expediente 276,FERIA JUDICIAL,Alta,Alto,Belén,Segunda Instancia,2028-05-12 1:20:38,Desfavorable,6,3016321.16,305738.47,Empresa,367,COMERCIAL 1,Caso relacionado 276,DR. PAREDES
FERIA JUDICIAL,996782,Norma Comercial,2003-06-27 4:07:46,Expediente 277,APELADO,Baja,Bajo,Belén,Corte Suprema,2025-01-14 20:18:31,Desfavorable,2,2454031.48,454026.12,Persona Física,1002,LABORAL 5,Caso relacionado 277,DR. URQUIZA
FERIA JUDICIAL,669667,Norma Laboral,2003-03-05 17:20:09,Expediente 278,FERIA JUDICIAL,Baja,Alto,Andres,Segunda Instancia,2025-12-09 16:57:45,Favorable,3,2647996.45,201989.4,Organismo Público,250,COMERCIAL 1,Caso relacionado 278,DR. PAREDES
APELADO,571828,Norma Comercial,2012-10-18 13:26:31,Expediente 279,TERMINADO,Alta,Bajo,Agostina,Primera Instancia,2028-09-22 21:51:09,Conciliación,8,1678868.21,1033629.47,Empresa,1940,COMERCIAL 1,Caso relacionado 279,DR. PAREDES
EN TRÁMITE,870188,Norma Civil,2005-01-20 3:18:47,Expediente 280,TERMINADO,Alta,Alto,Belén,Primera Instancia,2028-09-20 2:26:44,Desfavorable,5,2601370.34,546967.56,Organismo Público,1619,CIVIL 2,Caso relacionado 280,DR. URQUIZA
EN TRÁMITE,358517,Norma Laboral,2014-07-08 15:25:47,Expediente 281,FERIA JUDICIAL,Alta,Moderado,Belén,Primera Instancia,2030-03-25 11:18:41,En Proceso,6,995803.97,1043891.92,Empresa,1264,CIVIL 2,Caso relacionado 281,DR. PAREDES
EN TRÁMITE,540097,Norma Civil,2005-10-31 7:18:51,Expediente 282,FERIA JUDICIAL,Media,Alto,Laura,Segunda Instancia,2025-05-04 13:32:07,Desfavorable,2,4027820.24,1543306.93,Empresa,380,COMERCIAL 1,Caso relacionado 282,DRA. CINTIA FIAD
EN TRÁMITE,408557,Norma Comercial,2001-01-06 22:14:00,Expediente 283,TERMINADO,Media,Alto,Belén,Primera Instancia,2028-11-15 16:23:41,Conciliación,4,937027,3772216.22,Organismo Público,1931,PAZ TERCERA,Caso relacionado 283,DR. URQUIZA
FERIA JUDICIAL,237084,Norma Comercial,2010-07-24 4:29:23,Expediente 284,EN TRÁMITE,Media,Alto,Laura,Segunda Instancia,2030-10-03 3:46:07,En Proceso,8,433981.79,2443452.36,Organismo Público,872,PAZ TERCERA,Caso relacionado 284,DR. PAREDES
TERMINADO,805475,Norma Civil,2003-08-07 10:09:40,Expediente 285,TERMINADO,Alta,Moderado,Agostina,Primera Instancia,2029-04-20 8:58:51,Conciliación,2,2186867.67,3340720.27,Empresa,835,COMERCIAL 1,Caso relacionado 285,DRA. CINTIA FIAD
TERMINADO,893583,Norma Laboral,2018-04-26 3:04:52,Expediente 286,TERMINADO,Baja,Alto,Agostina,Corte Suprema,2028-06-30 22:22:13,Favorable,4,3294954.12,2842854.25,Persona Física,1495,PAZ TERCERA,Caso relacionado 286,DRA. CINTIA FIAD
APELADO,682004,Norma Civil,2008-06-26 9:22:15,Expediente 287,FERIA JUDICIAL,Alta,Moderado,Agostina,Corte Suprema,2027-06-28 18:37:43,En Proceso,9,2194206.96,454450.01,Organismo Público,775,LABORAL 5,Caso relacionado 287,DR. PAREDES
APELADO,980179,Norma Comercial,2006-07-09 19:49:10,Expediente 288,TERMINADO,Media,Bajo,Mariana,Corte Suprema,2030-04-28 9:20:05,Conciliación,6,1391003.12,2945002.02,Empresa,919,CIVIL 2,Caso relacionado 288,DRA. CINTIA FIAD
FERIA JUDICIAL,848013,Norma Civil,2019-06-02 9:29:44,Expediente 289,FERIA JUDICIAL,Media,Alto,Agostina,Corte Suprema,2028-09-15 1:19:31,En Proceso,9,2795274.21,1104020.03,Empresa,1725,LABORAL 5,Caso relacionado 289,DR. URQUIZA
TERMINADO,791738,Norma Comercial,2019-11-13 5:33:34,Expediente 290,FERIA JUDICIAL,Alta,Moderado,Belén,Segunda Instancia,2030-11-26 2:38:27,Conciliación,9,1741541.65,2558235.85,Persona Física,455,CIVIL 2,Caso relacionado 290,DR. PAREDES
TERMINADO,798012,Norma Civil,2022-06-20 16:07:11,Expediente 291,APELADO,Alta,Moderado,Andres,Primera Instancia,2030-05-10 13:03:17,En Proceso,4,4665009.77,1367143.08,Persona Física,366,PAZ TERCERA,Caso relacionado 291,DRA. CINTIA FIAD
EN TRÁMITE,303502,Norma Laboral,2020-01-01 7:38:21,Expediente 292,TERMINADO,Media,Alto,Laura,Corte Suprema,2028-06-20 3:15:25,Conciliación,5,4613999.25,3990700.69,Persona Física,1314,PAZ TERCERA,Caso relacionado 292,DRA. CINTIA FIAD
FERIA JUDICIAL,244539,Norma Laboral,2004-06-29 20:58:15,Expediente 293,EN TRÁMITE,Media,Bajo,Mariana,Segunda Instancia,2029-09-25 9:50:54,Favorable,8,2516835.38,1057888.16,Organismo Público,1898,COMERCIAL 1,Caso relacionado 293,DR. PAREDES
