Estado,ID_Expediente,Clasificacion_Norma,Fecha_Inicio,Caratula,Estado_Actual,Prioridad_Expediente,Riesgo_Financiero,Abogado_Asignado,Instancia_Actual,Audiencia_Prevista,Resultado_Final,Cantidad_de_Partes,Monto_Reclamado,Monto_Resuelto,Tipo_Demandante,Dias_en_Etapa,Juzgado,Caratula.1,Abogado_Contraparte,Tiene_Audiencia
APELADO,286925,Norma Laboral,2002-12-11 07:02:54,Expediente 58,FERIA JUDICIAL,Media,Bajo,Laura,Primera Instancia,2028-11-18 02:22:48,Conciliación,2,637434.4006816401,666017.9173902662,Persona Física,935,PAZ TERCERA,Caso relacionado 58,DR. URQUIZA,1
APELADO,540707,Norma Civil,2006-02-14 09:22:15,Expediente 287,FERIA JUDICIAL,Alta,Moderado,Agostina,Corte Suprema,2028-01-19 18:37:43,En Proceso,9,1755254.57411814,328239.99794692633,Organismo Público,637,LABORAL 5,Caso relacionado 287,DR. PAREDES,1
APELADO,462767,Norma Civil,2006-10-05 03:58:43,Expediente 349,TERMINADO,Baja,Bajo,Belén,Corte Suprema,2032-09-20 08:07:03,Favorable,3,4225604.573657526,1890781.309364029,Empresa,641,LABORAL 5,Caso relacionado 349,DRA. CINTIA FIAD,1
FERIA JUDICIAL,857992,Norma Comercial,2016-02-10 04:45:55,Expediente 21,EN TRÁMITE,Alta,Moderado,Andres,Segunda Instancia,,En Proceso,2,549125.9864582865,1888468.992082754,Empresa,1710,PAZ TERCERA,Caso relacionado 21,DR. PAREDES,0
TERMINADO,895852,Norma Civil,2022-08-09 20:08:14,Expediente 393,FERIA JUDICIAL,Alta,Moderado,Mariana,Primera Instancia,2025-03-31 04:53:39,Favorable,7,1223756.031150568,3893156.828965853,Persona Física,358,CIVIL 2,Caso relacionado 393,DR. PAREDES,1
FERIA JUDICIAL,112206,Norma Comercial,2005-10-15 15:30:19,Expediente 323,APELADO,Alta,Moderado,Belén,Primera Instancia,2026-05-27 00:55:59,Desfavorable,8,4391992.25833097,262805.369460964,Persona Física,233,LABORAL 5,Caso relacionado 323,DRA. CINTIA FIAD,1
APELADO,870027,Norma Laboral,2010-04-28 13:45:49,Expediente 148,TERMINADO,Media,Alto,Laura,Segunda Instancia,2032-03-31 16:19:30,En Proceso,3,2352258.609985341,1451720.9211336328,Persona Física,565,COMERCIAL 1,Caso relacionado 148,DR. URQUIZA,1
TERMINADO,708960,Norma Penal,2021-04-15 05:20:16,Expediente 42,TERMINADO,Media,Bajo,Belén,Segunda Instancia,2032-09-21 07:05:49,Desfavorable,3,3081040.355257005,2353105.512060628,Persona Física,1621,PAZ TERCERA,Caso relacionado 42,DRA. CINTIA FIAD,1
APELADO,497935,Norma Comercial,2011-05-23 12:34:34,Expediente 91,EN TRÁMITE,Baja,Alto,Andres,Segunda Instancia,2027-05-27 10:07:57,Desfavorable,9,3531378.716968229,1935536.7809213144,Empresa,56,LABORAL 5,Caso relacionado 91,DRA. CINTIA FIAD,1
APELADO,391218,Norma Comercial,2003-03-14 02:24:54,Expediente 17,EN TRÁMITE,Baja,Bajo,Belén,Primera Instancia,2027-09-18 07:14:30,Favorable,2,5165594.886400555,3299132.527700424,Organismo Público,537,COMERCIAL 1,Caso relacionado 17,DR. URQUIZA,1
FERIA JUDICIAL,974583,Norma Civil,2011-01-14 18:57:12,Expediente 95,EN TRÁMITE,Alta,Bajo,Andres,Corte Suprema,2026-01-08 06:21:04,En Proceso,4,1119879.5452516298,1558381.5911552168,Empresa,1072,COMERCIAL 1,Caso relacionado 95,DR. PAREDES,1
APELADO,710748,Norma Comercial,2008-02-20 16:33:25,Expediente 361,APELADO,Alta,Moderado,Belén,Corte Suprema,2031-03-17 07:27:22,En Proceso,4,2587711.776166408,3108648.4173666085,Empresa,383,LABORAL 5,Caso relacionado 361,DR. URQUIZA,1
EN TRÁMITE,317638,Norma Civil,2015-08-18 17:09:47,Expediente 364,EN TRÁMITE,Media,Moderado,Belén,Segunda Instancia,2031-06-22 00:59:44,Conciliación,2,94100.46231850285,577438.9230884695,Persona Física,1196,PAZ TERCERA,Caso relacionado 364,DR. URQUIZA,1
EN TRÁMITE,312755,Norma Penal,2001-12-25 12:58:46,Expediente 145,TERMINADO,Media,Bajo,Mariana,Primera Instancia,2031-02-05 08:37:07,Conciliación,8,972927.253253116,164399.95772062824,Empresa,326,LABORAL 5,Caso relacionado 145,DRA. CINTIA FIAD,1
TERMINADO,923864,Norma Civil,2003-05-06 05:57:40,Expediente 137,TERMINADO,Baja,Alto,Laura,Corte Suprema,2030-10-17 08:53:38,Desfavorable,6,4170790.064812044,3429545.911912989,Organismo Público,976,COMERCIAL 1,Caso relacionado 137,DR. URQUIZA,1
FERIA JUDICIAL,184371,Norma Penal,2018-06-18 22:05:50,Expediente 77,APELADO,Alta,Moderado,Belén,Primera Instancia,2031-12-20 12:04:54,En Proceso,6,3352367.4679567474,55641.413587944415,Organismo Público,634,CIVIL 2,Caso relacionado 77,DR. PAREDES,1
TERMINADO,917553,Norma Penal,2001-09-21 22:01:10,Expediente 211,EN TRÁMITE,Alta,Alto,Laura,Primera Instancia,2028-12-07 13:22:11,Favorable,7,4184346.513020036,3337329.2196063725,Organismo Público,323,LABORAL 5,Caso relacionado 211,DR. URQUIZA,1
FERIA JUDICIAL,619665,Norma Laboral,2011-11-07 05:27:36,Expediente 396,EN TRÁMITE,Alta,Alto,Belén,Corte Suprema,2026-08-09 14:23:04,En Proceso,8,5752762.282425857,2864809.149496018,Organismo Público,1632,PAZ TERCERA,Caso relacionado 396,DR. PAREDES,1
EN TRÁMITE,814377,Norma Comercial,2001-01-26 04:53:54,Expediente 481,APELADO,Alta,Alto,Andres,Primera Instancia,2029-07-17 12:29:17,Conciliación,8,2049499.6366969715,1036902.1472065118,Organismo Público,998,LABORAL 5,Caso relacionado 481,DR. PAREDES,1
FERIA JUDICIAL,395532,Norma Penal,2015-06-01 01:37:17,Expediente 458,APELADO,Media,Moderado,Agostina,Primera Instancia,2029-02-11 03:22:29,Favorable,6,4560842.88461332,284574.44519843155,Persona Física,210,COMERCIAL 1,Caso relacionado 458,DRA. CINTIA FIAD,1
APELADO,415011,Norma Laboral,2001-09-10 07:02:54,Expediente 58,FERIA JUDICIAL,Media,Bajo,Laura,Primera Instancia,2032-04-02 02:22:48,Conciliación,2,630118.4350119202,646189.8559985078,Persona Física,867,PAZ TERCERA,Caso relacionado 58,DR. URQUIZA,1
FERIA JUDICIAL,581911,Norma Laboral,2006-09-27 11:38:23,Expediente 314,APELADO,Alta,Bajo,Agostina,Primera Instancia,2029-03-31 04:34:21,Favorable,8,1269248.5813739635,2302932.37233072,Organismo Público,1627,CIVIL 2,Caso relacionado 314,DR. PAREDES,1
FERIA JUDICIAL,691391,Norma Comercial,2008-03-19 12:48:11,Expediente 297,EN TRÁMITE,Media,Moderado,Andres,Segunda Instancia,2032-05-15 08:03:36,En Proceso,7,1772733.607927736,3078041.7811103645,Persona Física,1444,COMERCIAL 1,Caso relacionado 297,DR. URQUIZA,1
APELADO,983717,Norma Civil,2002-10-12 12:17:47,Expediente 381,FERIA JUDICIAL,Baja,Moderado,Mariana,Corte Suprema,2031-03-24 18:36:36,Desfavorable,9,1406941.723711687,3188434.381850168,Persona Física,755,CIVIL 2,Caso relacionado 381,DR. URQUIZA,1
EN TRÁMITE,791287,Norma Penal,2021-05-15 20:14:47,Expediente 18,EN TRÁMITE,Baja,Alto,Belén,Primera Instancia,2026-02-15 02:57:17,Favorable,2,3657977.11989198,204756.2528255628,Empresa,1390,PAZ TERCERA,Caso relacionado 18,DR. URQUIZA,1
TERMINADO,265902,Norma Laboral,2009-01-21 02:13:28,Expediente 459,TERMINADO,Media,Moderado,Belén,Primera Instancia,2029-02-20 03:34:16,Desfavorable,9,979520.51669441,485656.07930798107,Organismo Público,186,COMERCIAL 1,Caso relacionado 459,DR. URQUIZA,1
FERIA JUDICIAL,123725,Norma Laboral,2011-10-11 05:27:36,Expediente 396,EN TRÁMITE,Alta,Alto,Belén,Corte Suprema,2023-07-19 14:23:04,En Proceso,8,6259833.178449605,2736315.570838792,Organismo Público,1970,PAZ TERCERA,Caso relacionado 396,DR. PAREDES,1
EN TRÁMITE,886341,Norma Civil,2011-03-13 18:22:27,Expediente 69,APELADO,Alta,Bajo,Laura,Corte Suprema,2028-09-09 14:44:08,Favorable,6,197774.9069181198,3807612.1144021135,Organismo Público,379,PAZ TERCERA,Caso relacionado 69,DR. URQUIZA,1
EN TRÁMITE,101018,Norma Comercial,2004-04-29 05:53:16,Expediente 101,EN TRÁMITE,Baja,Moderado,Belén,Primera Instancia,2028-05-12 12:36:31,Desfavorable,5,2489439.586253492,1215775.02013857,Persona Física,1154,CIVIL 2,Caso relacionado 101,DR. PAREDES,1
TERMINADO,253482,Norma Penal,2025-09-13 01:27:30,Expediente 189,APELADO,Alta,Moderado,Mariana,Segunda Instancia,2025-05-24 22:08:42,Conciliación,4,1023851.4633468856,4722923.080993121,Empresa,816,CIVIL 2,Caso relacionado 189,DR. PAREDES,1
TERMINADO,192840,Norma Laboral,2004-02-14 02:39:15,Expediente 457,FERIA JUDICIAL,Media,Bajo,Mariana,Segunda Instancia,2030-02-13 05:15:40,En Proceso,2,2855389.954498588,918954.1410904936,Empresa,391,COMERCIAL 1,Caso relacionado 457,DR. PAREDES,1
FERIA JUDICIAL,705112,Norma Comercial,2025-12-23 17:52:50,Expediente 424,FERIA JUDICIAL,Media,Alto,Mariana,Primera Instancia,2029-05-05 00:08:57,Favorable,7,3457566.9448959143,1863378.4958867363,Empresa,885,LABORAL 5,Caso relacionado 424,DRA. CINTIA FIAD,1
TERMINADO,659746,Norma Civil,2006-02-07 00:27:52,Expediente 348,TERMINADO,Media,Bajo,Laura,Primera Instancia,2024-10-20 00:17:35,Favorable,3,2930605.265352051,701793.8938017398,Persona Física,1390,PAZ TERCERA,Caso relacionado 348,DRA. CINTIA FIAD,1
EN TRÁMITE,393265,Norma Penal,2017-03-12 16:45:50,Expediente 402,EN TRÁMITE,Alta,Bajo,Andres,Segunda Instancia,2031-10-25 01:28:53,En Proceso,9,2403825.264284154,908823.8055118668,Empresa,952,LABORAL 5,Caso relacionado 402,DRA. CINTIA FIAD,1
APELADO,828725,Norma Laboral,2019-07-11 18:32:41,Expediente 217,APELADO,Baja,Alto,Belén,Segunda Instancia,2030-07-23 12:44:58,Desfavorable,7,2981946.8485117387,665742.2703604908,Persona Física,714,PAZ TERCERA,Caso relacionado 217,DR. URQUIZA,1
EN TRÁMITE,759590,Norma Penal,1997-07-06 07:20:20,Expediente 10,EN TRÁMITE,Alta,Bajo,Mariana,Segunda Instancia,2029-07-28 06:02:23,Conciliación,4,1351670.3549031585,1304477.5305734358,Organismo Público,1368,CIVIL 2,Caso relacionado 10,DRA. CINTIA FIAD,1
FERIA JUDICIAL,350221,Norma Penal,2022-11-05 18:53:04,Expediente 86,TERMINADO,Media,Bajo,Laura,Segunda Instancia,2023-08-12 05:57:18,Favorable,9,1224644.768677729,1395342.2510921652,Organismo Público,338,COMERCIAL 1,Caso relacionado 86,DRA. CINTIA FIAD,1
EN TRÁMITE,589025,Norma Penal,2004-05-09 08:15:55,Expediente 353,TERMINADO,Alta,Bajo,Belén,Primera Instancia,2025-07-12 07:22:10,Desfavorable,8,317191.91866911115,1888468.992082754,Persona Física,217,PAZ TERCERA,Caso relacionado 353,DRA. CINTIA FIAD,1
FERIA JUDICIAL,843022,Norma Laboral,2019-05-05 05:08:01,Expediente 275,FERIA JUDICIAL,Alta,Moderado,Agostina,Segunda Instancia,2026-11-06 13:37:00,Favorable,3,3227569.3573054266,2504179.020049122,Organismo Público,1470,COMERCIAL 1,Caso relacionado 275,DRA. CINTIA FIAD,1
TERMINADO,428333,Norma Laboral,2001-09-11 14:02:05,Expediente 317,FERIA JUDICIAL,Media,Alto,Belén,Primera Instancia,2028-07-11 05:57:36,En Proceso,4,4223978.728165021,1607018.33354766,Empresa,1379,COMERCIAL 1,Caso relacionado 317,DRA. CINTIA FIAD,1
APELADO,388332,Norma Laboral,2023-02-04 06:21:38,Expediente 15,TERMINADO,Media,Alto,Agostina,Segunda Instancia,2032-09-19 13:16:43,Conciliación,7,2258396.026927542,1888468.992082754,Persona Física,954,COMERCIAL 1,Caso relacionado 15,DR. URQUIZA,1
TERMINADO,530657,Norma Comercial,1997-03-29 14:35:43,Expediente 474,TERMINADO,Media,Bajo,Agostina,Corte Suprema,2025-07-27 12:33:28,Desfavorable,4,4734467.234094916,3308442.2660650155,Empresa,1904,LABORAL 5,Caso relacionado 474,DR. PAREDES,1
TERMINADO,959931,Norma Civil,1999-02-03 05:54:33,Expediente 258,FERIA JUDICIAL,Alta,Bajo,Mariana,Primera Instancia,2031-01-09 03:04:57,En Proceso,4,208068.4273431008,272684.0426569271,Persona Física,433,PAZ TERCERA,Caso relacionado 258,DRA. CINTIA FIAD,1
TERMINADO,432215,Norma Comercial,2007-02-01 06:25:28,Expediente 273,APELADO,Media,Alto,Belén,Corte Suprema,2026-10-17 21:26:51,Favorable,4,710853.7799417104,2533723.746141339,Empresa,849,LABORAL 5,Caso relacionado 273,DRA. CINTIA FIAD,1
EN TRÁMITE,239162,Norma Penal,2015-03-02 01:39:57,Expediente 492,FERIA JUDICIAL,Baja,Moderado,Laura,Corte Suprema,2031-10-18 11:06:22,Favorable,7,3154411.7308271457,3463896.4533559894,Persona Física,770,PAZ TERCERA,Caso relacionado 492,DRA. CINTIA FIAD,1
FERIA JUDICIAL,534835,Norma Laboral,2011-11-27 16:36:10,Expediente 460,TERMINADO,Media,Bajo,Andres,Corte Suprema,2031-07-07 23:02:11,Favorable,3,3432164.5041627497,3804075.488386744,Organismo Público,1045,PAZ TERCERA,Caso relacionado 460,DRA. CINTIA FIAD,1
TERMINADO,264490,Norma Civil,2008-03-10 07:44:22,Expediente 400,EN TRÁMITE,Alta,Alto,Agostina,Segunda Instancia,2031-03-03 00:56:27,Favorable,5,4985956.0096520735,2293438.0711833257,Organismo Público,798,LABORAL 5,Caso relacionado 400,DR. URQUIZA,1
APELADO,489043,Norma Civil,2013-10-29 06:59:29,Expediente 162,EN TRÁMITE,Baja,Moderado,Andres,Primera Instancia,2027-10-24 05:10:52,Favorable,8,1661716.445347563,1888468.992082754,Persona Física,846,LABORAL 5,Caso relacionado 162,DRA. CINTIA FIAD,1
TERMINADO,172819,Norma Comercial,2001-09-09 03:56:06,Expediente 448,TERMINADO,Alta,Bajo,Andres,Corte Suprema,2028-08-07 10:28:53,Conciliación,7,3491505.4044290422,1527840.0441781492,Organismo Público,1766,PAZ TERCERA,Caso relacionado 448,DR. URQUIZA,1
FERIA JUDICIAL,869672,Norma Laboral,2003-09-30 19:08:07,Expediente 139,TERMINADO,Alta,Moderado,Laura,Segunda Instancia,2023-05-20 01:08:28,Desfavorable,2,4278072.015782167,1387980.7149510144,Organismo Público,1248,PAZ TERCERA,Caso relacionado 139,DRA. CINTIA FIAD,1
FERIA JUDICIAL,281701,Norma Comercial,2022-12-21 17:52:50,Expediente 424,FERIA JUDICIAL,Media,Alto,Mariana,Primera Instancia,2028-01-30 00:08:57,Favorable,7,5402853.566652022,1808201.24451679,Empresa,698,LABORAL 5,Caso relacionado 424,DRA. CINTIA FIAD,1
APELADO,158073,Norma Comercial,2002-10-12 13:58:45,Expediente 65,APELADO,Baja,Alto,Mariana,Corte Suprema,2030-03-06 05:14:34,Desfavorable,8,2171910.4938486475,3683666.4486454274,Organismo Público,910,PAZ TERCERA,Caso relacionado 65,DR. URQUIZA,1
TERMINADO,350635,Norma Comercial,2026-03-20 14:43:07,Expediente 82,EN TRÁMITE,Baja,Bajo,Agostina,Primera Instancia,2023-12-20 13:08:30,Favorable,3,1498675.9369909794,5133633.216646456,Persona Física,949,CIVIL 2,Caso relacionado 82,DRA. CINTIA FIAD,1
FERIA JUDICIAL,527045,Norma Comercial,2020-10-04 22:12:08,Expediente 165,FERIA JUDICIAL,Media,Moderado,Mariana,Segunda Instancia,2026-10-26 09:02:00,Favorable,9,2504422.518587866,2295319.144064612,Empresa,613,LABORAL 5,Caso relacionado 165,DR. PAREDES,1
EN TRÁMITE,648995,Norma Civil,2025-06-28 22:09:06,Expediente 303,EN TRÁMITE,Alta,Moderado,Belén,Primera Instancia,2024-03-06 21:04:44,En Proceso,8,2389700.8289772808,2895679.501275466,Persona Física,209,PAZ TERCERA,Caso relacionado 303,DR. PAREDES,1
TERMINADO,763969,Norma Civil,2022-09-06 06:13:39,Expediente 12,FERIA JUDICIAL,Alta,Moderado,Laura,Corte Suprema,2029-04-15 06:14:36,Favorable,4,1182299.0940605097,1699766.487495976,Empresa,462,CIVIL 2,Caso relacionado 12,DRA. CINTIA FIAD,1
APELADO,807000,Norma Penal,2015-06-03 13:52:54,Expediente 496,TERMINADO,Media,Alto,Laura,Corte Suprema,2028-01-16 00:57:29,Desfavorable,4,1956014.2305106048,2593245.744611332,Organismo Público,1769,CIVIL 2,Caso relacionado 496,DR. PAREDES,1
FERIA JUDICIAL,479146,Norma Comercial,2027-12-10 09:40:54,Expediente 394,APELADO,Baja,Alto,Mariana,Segunda Instancia,2029-05-20 18:37:32,Desfavorable,7,2161928.302800332,1641768.1170322802,Persona Física,1371,PAZ TERCERA,Caso relacionado 394,DRA. CINTIA FIAD,1
EN TRÁMITE,358581,Norma Comercial,2003-07-08 16:13:27,Expediente 256,EN TRÁMITE,Alta,Alto,Andres,Primera Instancia,2025-05-19 22:03:52,Favorable,5,2753547.2349414662,1888468.992082754,Empresa,1351,COMERCIAL 1,Caso relacionado 256,DR. PAREDES,1
TERMINADO,448240,Norma Comercial,2005-07-01 13:03:02,Expediente 239,EN TRÁMITE,Baja,Moderado,Belén,Corte Suprema,2025-11-11 16:46:24,Conciliación,4,1015061.6625856836,778369.4878336175,Organismo Público,1008,CIVIL 2,Caso relacionado 239,DR. URQUIZA,1
EN TRÁMITE,749017,Norma Comercial,2007-05-15 10:08:20,Expediente 408,TERMINADO,Media,Moderado,Mariana,Primera Instancia,2030-05-28 11:16:57,Conciliación,6,513324.16159846185,572930.55373792,Organismo Público,1226,PAZ TERCERA,Caso relacionado 408,DRA. CINTIA FIAD,1
EN TRÁMITE,146839,Norma Laboral,2002-09-02 20:32:44,Expediente 106,EN TRÁMITE,Media,Bajo,Laura,Corte Suprema,2032-03-05 12:30:28,Favorable,3,2648421.49804776,3083572.9100909755,Empresa,478,COMERCIAL 1,Caso relacionado 106,DRA. CINTIA FIAD,1
APELADO,900670,Norma Penal,2011-08-11 02:08:46,Expediente 356,TERMINADO,Alta,Alto,Agostina,Segunda Instancia,2029-03-25 06:48:37,Desfavorable,6,3503842.916612672,2402616.5129697886,Empresa,243,PAZ TERCERA,Caso relacionado 356,DR. PAREDES,1
FERIA JUDICIAL,393008,Norma Penal,2013-04-30 01:37:17,Expediente 458,APELADO,Media,Moderado,Agostina,Primera Instancia,2027-01-23 03:22:29,Favorable,6,4377121.441276775,298116.09057554166,Persona Física,226,COMERCIAL 1,Caso relacionado 458,DRA. CINTIA FIAD,1
EN TRÁMITE,721927,Norma Penal,2015-12-25 10:53:19,Expediente 321,TERMINADO,Baja,Moderado,Mariana,Corte Suprema,2027-06-10 18:53:58,Desfavorable,8,199805.6484602957,1056059.5776210467,Persona Física,1598,CIVIL 2,Caso relacionado 321,DRA. CINTIA FIAD,1
TERMINADO,469941,Norma Comercial,2023-05-30 13:09:13,Expediente 163,FERIA JUDICIAL,Baja,Moderado,Laura,Primera Instancia,2026-04-26 01:19:29,Conciliación,7,5609207.557184662,3006762.306790245,Empresa,73,LABORAL 5,Caso relacionado 163,DR. PAREDES,1
TERMINADO,489684,Norma Comercial,2009-10-20 16:59:09,Expediente 382,EN TRÁMITE,Alta,Alto,Laura,Primera Instancia,2024-12-08 12:33:04,Favorable,2,944391.4511578624,3402408.021401182,Persona Física,929,LABORAL 5,Caso relacionado 382,DR. PAREDES,1
APELADO,419780,Norma Civil,2013-01-25 21:10:28,Expediente 380,APELADO,Baja,Bajo,Andres,Primera Instancia,2029-01-20 20:48:57,En Proceso,3,732892.3636361622,2880401.1891277847,Organismo Público,812,CIVIL 2,Caso relacionado 380,DRA. CINTIA FIAD,1
TERMINADO,176408,Norma Laboral,2000-07-08 01:01:20,Expediente 340,EN TRÁMITE,Baja,Moderado,Agostina,Primera Instancia,2026-01-14 18:01:24,Favorable,2,4807225.090060127,1473605.823109114,Persona Física,1933,CIVIL 2,Caso relacionado 340,DESCONOCIDO,1
APELADO,355217,Norma Laboral,2004-01-12 19:47:53,Expediente 141,EN TRÁMITE,Baja,Moderado,Agostina,Corte Suprema,2028-11-23 11:18:13,Desfavorable,3,3960399.115237732,2300187.286621771,Organismo Público,762,LABORAL 5,Caso relacionado 141,DRA. CINTIA FIAD,1
TERMINADO,973514,Norma Civil,2002-06-24 00:41:01,Expediente 142,TERMINADO,Alta,Moderado,Mariana,Primera Instancia,2025-02-16 13:25:48,Favorable,8,2821716.6238060305,921910.6885408384,Empresa,1781,CIVIL 2,Caso relacionado 142,DRA. CINTIA FIAD,1
EN TRÁMITE,137077,Norma Penal,2011-03-19 05:19:48,Expediente 327,APELADO,Baja,Moderado,Laura,Primera Instancia,2025-11-16 18:40:53,Conciliación,6,4488800.589601313,1724550.4158901966,Organismo Público,702,COMERCIAL 1,Caso relacionado 327,DR. URQUIZA,1
EN TRÁMITE,589496,Norma Penal,2015-07-07 16:39:04,Expediente 374,FERIA JUDICIAL,Alta,Alto,Belén,Segunda Instancia,2027-01-01 04:55:17,Desfavorable,6,3047435.5695994943,1536624.4625227628,Organismo Público,508,PAZ TERCERA,Caso relacionado 374,DRA. CINTIA FIAD,1
APELADO,695992,Norma Laboral,2017-05-03 06:21:38,Expediente 15,TERMINADO,Media,Alto,Agostina,Segunda Instancia,2029-08-31 13:16:43,Conciliación,7,2359101.7258705804,1586647.473434484,Persona Física,864,COMERCIAL 1,Caso relacionado 15,DR. URQUIZA,1
EN TRÁMITE,333577,Norma Comercial,2008-08-14 10:08:20,Expediente 408,TERMINADO,Media,Moderado,Mariana,Primera Instancia,2029-07-04 11:16:57,Conciliación,6,527802.9869224081,828028.2208072074,Organismo Público,874,PAZ TERCERA,Caso relacionado 408,DRA. CINTIA FIAD,1
FERIA JUDICIAL,550092,Norma Civil,2012-01-24 02:37:27,Expediente 249,APELADO,Alta,Alto,Belén,Segunda Instancia,2029-11-13 14:46:43,Desfavorable,6,3332158.949838351,516760.82445587,Persona Física,1069,LABORAL 5,Caso relacionado 249,DR. URQUIZA,1
EN TRÁMITE,403652,Norma Comercial,2010-10-10 13:21:46,Expediente 160,EN TRÁMITE,Baja,Bajo,Mariana,Segunda Instancia,2026-06-12 12:39:49,Desfavorable,4,3676268.713718902,2456385.747093973,Persona Física,1235,PAZ TERCERA,Caso relacionado 160,DRA. CINTIA FIAD,1
FERIA JUDICIAL,889391,Norma Penal,2004-11-10 01:28:24,Expediente 39,TERMINADO,Alta,Moderado,Laura,Corte Suprema,2028-05-03 02:47:57,En Proceso,4,1341564.586361737,2917897.481328241,Empresa,1831,CIVIL 2,Caso relacionado 39,DRA. CINTIA FIAD,1
FERIA JUDICIAL,484429,Norma Civil,2000-11-06 18:03:59,Expediente 497,APELADO,Baja,Moderado,Belén,Corte Suprema,2025-08-25 23:24:47,Favorable,6,1416002.820653034,1093457.644706441,Empresa,17,LABORAL 5,Caso relacionado 497,DR. PAREDES,1
FERIA JUDICIAL,287714,Norma Penal,2005-06-03 16:33:56,Expediente 411,FERIA JUDICIAL,Baja,Alto,Belén,Corte Suprema,2029-01-15 16:15:21,Conciliación,3,2296677.453994179,1024932.7132753024,Persona Física,559,COMERCIAL 1,Caso relacionado 411,DR. URQUIZA,1
FERIA JUDICIAL,807456,Norma Comercial,2006-04-15 15:30:19,Expediente 323,APELADO,Alta,Moderado,Belén,Primera Instancia,,Desfavorable,8,4760174.279517219,214553.58615752548,Persona Física,225,LABORAL 5,Caso relacionado 323,DRA. CINTIA FIAD,0
TERMINADO,206410,Norma Civil,2016-02-15 22:21:48,Expediente 226,TERMINADO,Alta,Bajo,Laura,Corte Suprema,2025-04-05 20:46:40,Conciliación,4,4986316.921841481,1044823.9230863824,Persona Física,419,COMERCIAL 1,Caso relacionado 226,DR. URQUIZA,1
FERIA JUDICIAL,762266,Norma Comercial,2004-06-13 15:30:19,Expediente 323,APELADO,Alta,Moderado,Belén,Primera Instancia,2025-05-02 00:55:59,Desfavorable,8,3985103.367118938,1888468.992082754,Persona Física,220,LABORAL 5,Caso relacionado 323,DRA. CINTIA FIAD,1
FERIA JUDICIAL,655928,Norma Laboral,2020-12-13 19:48:37,Expediente 220,TERMINADO,Alta,Alto,Agostina,Corte Suprema,2024-05-17 00:59:55,En Proceso,3,4324613.8220793465,4618487.575653198,Persona Física,713,CIVIL 2,Caso relacionado 220,DR. PAREDES,1
APELADO,946822,Norma Laboral,2005-07-16 14:12:42,Expediente 383,EN TRÁMITE,Alta,Moderado,Belén,Primera Instancia,2029-11-15 03:49:36,Desfavorable,4,4767867.740982635,848585.3817314039,Organismo Público,1751,CIVIL 2,Caso relacionado 383,DR. PAREDES,1
TERMINADO,411217,Norma Civil,2005-02-07 10:01:51,Expediente 14,EN TRÁMITE,Baja,Alto,Belén,Primera Instancia,2025-11-04 00:19:14,Desfavorable,9,1273787.5725780614,4231503.098600384,Persona Física,1743,LABORAL 5,Caso relacionado 14,DRA. CINTIA FIAD,1
APELADO,202573,Norma Civil,2006-01-25 11:18:48,Expediente 338,TERMINADO,Alta,Bajo,Laura,Corte Suprema,2026-11-08 07:26:34,Conciliación,2,565337.4788379329,4533035.312891239,Organismo Público,650,CIVIL 2,Caso relacionado 338,DR. URQUIZA,1
APELADO,448238,Norma Penal,2016-01-12 02:53:58,Expediente 44,FERIA JUDICIAL,Alta,Bajo,Andres,Primera Instancia,2029-01-04 21:32:35,Conciliación,7,2527791.3584247925,2807074.376588151,Persona Física,1492,LABORAL 5,Caso relacionado 44,DR. URQUIZA,1
TERMINADO,669139,Norma Comercial,2012-07-23 01:53:53,Expediente 99,TERMINADO,Alta,Moderado,Mariana,Primera Instancia,2026-02-05 07:04:39,Conciliación,3,2748633.899011982,3547409.1676963205,Organismo Público,1615,COMERCIAL 1,Caso relacionado 99,DRA. CINTIA FIAD,1
TERMINADO,250156,Norma Laboral,2013-09-22 17:26:19,Expediente 60,FERIA JUDICIAL,Baja,Alto,Agostina,Primera Instancia,2031-01-07 04:17:14,En Proceso,2,3110211.81528871,2490987.4074541777,Empresa,2019,PAZ TERCERA,Caso relacionado 60,DR. PAREDES,1
APELADO,438982,Norma Comercial,2020-11-14 19:23:12,Expediente 308,EN TRÁMITE,Media,Bajo,Andres,Primera Instancia,2028-05-18 07:30:28,En Proceso,8,1417984.559205051,3598617.672721282,Organismo Público,637,CIVIL 2,Caso relacionado 308,DR. URQUIZA,1
TERMINADO,612207,Norma Civil,2013-12-03 02:30:21,Expediente 437,TERMINADO,Baja,Bajo,Andres,Segunda Instancia,2029-06-13 12:48:58,Conciliación,4,3211908.218363217,3144216.79309772,Organismo Público,929,COMERCIAL 1,Caso relacionado 437,DR. URQUIZA,1
FERIA JUDICIAL,805577,Norma Civil,2023-07-04 21:57:25,Expediente 92,EN TRÁMITE,Baja,Bajo,Belén,Corte Suprema,2031-05-13 17:23:54,Favorable,2,3093319.9615550325,1155877.131017407,Organismo Público,1329,PAZ TERCERA,Caso relacionado 92,DRA. CINTIA FIAD,1
TERMINADO,834028,Norma Penal,2015-11-26 16:30:10,Expediente 57,TERMINADO,Alta,Alto,Andres,Corte Suprema,2030-03-31 22:09:05,Conciliación,9,4032659.715411101,428431.87478772696,Empresa,942,PAZ TERCERA,Caso relacionado 57,DR. URQUIZA,1
